Product ID*;Attribute (Name:Type:Position)*;Value (Value:Position)*
1;Terminy:select:1;13'00 18.11:0
1;Terminy:select:1;18'00 18.11:1
2;Terminy:select:1;12'20 18.11:0
2;Terminy:select:1;15'00 18.11:1
2;Terminy:select:1;18'30 18.11:2
2;Terminy:select:1;21'10 18.11:3
2;Terminy:select:1;12'30 19.11:4
2;Terminy:select:1;15'50 19.11:5
2;Terminy:select:1;18'45 19.11:6
2;Terminy:select:1;21'20 19.11:7
2;Terminy:select:1;12'30 20.11:8
2;Terminy:select:1;15'40 20.11:9
2;Terminy:select:1;18'45 20.11:10
2;Terminy:select:1;21'20 20.11:11
2;Terminy:select:1;12'30 21.11:12
2;Terminy:select:1;15'40 21.11:13
2;Terminy:select:1;18'45 21.11:14
2;Terminy:select:1;21'20 21.11:15
2;Terminy:select:1;12'30 22.11:16
2;Terminy:select:1;15'30 22.11:17
2;Terminy:select:1;18'45 22.11:18
2;Terminy:select:1;21'20 22.11:19
2;Terminy:select:1;11'40 23.11:20
2;Terminy:select:1;15'40 23.11:21
2;Terminy:select:1;18'45 23.11:22
2;Terminy:select:1;21'20 23.11:23
2;Terminy:select:1;12'30 24.11:24
2;Terminy:select:1;15'30 24.11:25
2;Terminy:select:1;18'45 24.11:26
2;Terminy:select:1;21'20 24.11:27
2;Terminy:select:1;15'20 25.11:28
2;Terminy:select:1;18'45 25.11:29
2;Terminy:select:1;21'20 25.11:30
3;Terminy:select:1;10'45 18.11:0
3;Terminy:select:1;13'45 18.11:1
3;Terminy:select:1;14'50 18.11:2
3;Terminy:select:1;17'00 18.11:3
3;Terminy:select:1;10'15 19.11:4
3;Terminy:select:1;16'30 19.11:5
3;Terminy:select:1;10'15 20.11:6
3;Terminy:select:1;16'30 20.11:7
3;Terminy:select:1;10'15 21.11:8
3;Terminy:select:1;16'30 21.11:9
3;Terminy:select:1;10'15 22.11:10
3;Terminy:select:1;13'15 22.11:11
3;Terminy:select:1;16'30 22.11:12
3;Terminy:select:1;13'20 23.11:13
