Product ID*;Attribute (Name:Type:Position)*;Value (Value:Position)*;Ilość
1;Terminy:select:1;18'00 22.11:0;130
2;Terminy:select:1;11'45 22.11:0;130
2;Terminy:select:1;19'20 22.11:1;130
2;Terminy:select:1;11'50 23.11:2;130
2;Terminy:select:1;18'15 23.11:3;130
2;Terminy:select:1;11'45 24.11:4;130
2;Terminy:select:1;19'20 24.11:5;130
2;Terminy:select:1;11'45 25.11:6;130
2;Terminy:select:1;19'20 25.11:7;130
3;Terminy:select:1;14'15 22.11:0;130
3;Terminy:select:1;20'20 22.11:1;130
3;Terminy:select:1;14'15 23.11:2;130
3;Terminy:select:1;20'45 23.11:3;130
3;Terminy:select:1;14'15 24.11:4;130
3;Terminy:select:1;20'15 24.11:5;130
3;Terminy:select:1;14'15 25.11:6;130
3;Terminy:select:1;20'20 25.11:7;130
4;Terminy:select:1;11'10 22.11:0;130
4;Terminy:select:1;17'30 22.11:1;130
4;Terminy:select:1;12'00 23.11:2;130
4;Terminy:select:1;17'30 23.11:3;130
4;Terminy:select:1;11'10 24.11:4;130
4;Terminy:select:1;17'30 24.11:5;130
4;Terminy:select:1;11'10 25.11:6;130
4;Terminy:select:1;17'30 25.11:7;130
5;Terminy:select:1;10'45 22.11:0;130
5;Terminy:select:1;14'00 22.11:1;130
5;Terminy:select:1;17'00 22.11:2;130
5;Terminy:select:1;9'30 22.11:3;130
5;Terminy:select:1;10'50 23.11:4;130
5;Terminy:select:1;14'15 23.11:5;130
5;Terminy:select:1;17'00 23.11:6;130
5;Terminy:select:1;10'45 24.11:7;130
5;Terminy:select:1;14'00 24.11:8;130
5;Terminy:select:1;17'00 24.11:9;130
5;Terminy:select:1;9'15 24.11:10;130
5;Terminy:select:1;10'40 25.11:11;130
5;Terminy:select:1;14'00 25.11:12;130
5;Terminy:select:1;17'00 25.11:13;130
6;Terminy:select:1;12'30 22.11:0;130
6;Terminy:select:1;15'30 22.11:1;130
6;Terminy:select:1;18'45 22.11:2;130
6;Terminy:select:1;21'20 22.11:3;130
6;Terminy:select:1;11'40 23.11:4;130
6;Terminy:select:1;15'40 23.11:5;130
6;Terminy:select:1;18'45 23.11:6;130
6;Terminy:select:1;21'20 23.11:7;130
6;Terminy:select:1;12'30 24.11:8;130
6;Terminy:select:1;15'30 24.11:9;130
6;Terminy:select:1;18'45 24.11:10;130
6;Terminy:select:1;21'20 24.11:11;130
6;Terminy:select:1;15'20 25.11:12;130
6;Terminy:select:1;18'45 25.11:13;130
6;Terminy:select:1;21'20 25.11:14;130
7;Terminy:select:1;10'15 22.11:0;130
7;Terminy:select:1;13'15 22.11:1;130
7;Terminy:select:1;16'30 22.11:2;130
7;Terminy:select:1;13'20 23.11:3;130
7;Terminy:select:1;16'30 23.11:4;130
7;Terminy:select:1;10'00 23.11:5;130
7;Terminy:select:1;10'15 24.11:6;130
7;Terminy:select:1;13'15 24.11:7;130
7;Terminy:select:1;16'30 24.11:8;130
7;Terminy:select:1;10'30 25.11:9;130
7;Terminy:select:1;12'50 25.11:10;130
7;Terminy:select:1;16'30 25.11:11;130
8;Terminy:select:1;15'10 22.11:0;130
8;Terminy:select:1;20'10 22.11:1;130
8;Terminy:select:1;21'45 22.11:2;130
8;Terminy:select:1;15'10 23.11:3;130
8;Terminy:select:1;19'20 23.11:4;130
8;Terminy:select:1;21'40 23.11:5;130
8;Terminy:select:1;15'10 24.11:6;130
8;Terminy:select:1;20'00 24.11:7;130
8;Terminy:select:1;21'45 24.11:8;130
8;Terminy:select:1;15'10 25.11:9;130
8;Terminy:select:1;20'10 25.11:10;130
8;Terminy:select:1;21'45 25.11:11;130
9;Terminy:select:1;20'15 23.11:0;130
10;Terminy:select:1;9'00 23.11:0;130
11;Terminy:select:1;18'00 24.11:0;130
12;Terminy:select:1;9'00 24.11:0;130
13;Terminy:select:1;13'00 25.11:0;130
13;Terminy:select:1;18'00 25.11:1;130
14;Terminy:select:1;17'30 26.11:0;130
14;Terminy:select:1;20'40 26.11:1;130
14;Terminy:select:1;17'30 27.11:2;130
14;Terminy:select:1;20'40 27.11:3;130
14;Terminy:select:1;17'30 28.11:4;130
14;Terminy:select:1;20'40 28.11:5;130
14;Terminy:select:1;17'30 29.11:6;130
14;Terminy:select:1;17'30 30.11:7;130
14;Terminy:select:1;20'40 30.11:8;130
14;Terminy:select:1;17'30 01.12:9;130
14;Terminy:select:1;17'30 02.12:10;130
15;Terminy:select:1;10'30 28.11:0;130
16;Terminy:select:1;23'00* 03.12:0;130
17;Terminy:select:1;18'00 22.11:0;130
18;Terminy:select:1;13'15 22.11:0;130
18;Terminy:select:1;18'45 22.11:1;130
18;Terminy:select:1;21'20 22.11:2;130
18;Terminy:select:1;13'10 23.11:3;130
18;Terminy:select:1;18'45 23.11:4;130
18;Terminy:select:1;21'20 23.11:5;130
18;Terminy:select:1;13'15 24.11:6;130
18;Terminy:select:1;18'45 24.11:7;130
18;Terminy:select:1;21'20 24.11:8;130
18;Terminy:select:1;13'20 25.11:9;130
18;Terminy:select:1;18'45 25.11:10;130
