Nazwa;Aktywny (0 lub 1);Kategoria nadrzedna
Repertuar;1;Strona główna
Bełchatów Helios;1;Repertuar
Białystok Helios Alfa;1;Repertuar
Białystok Helios Biała;1;Repertuar
Białystok Helios Jurowiecka;1;Repertuar
Bielsko-Biała Helios;1;Repertuar
Bydgoszcz Helios;1;Repertuar
Dąbrowa Górnicza Helios;1;Repertuar
Gdańsk Helios Alfa;1;Repertuar
Gdańsk Helios Forum;1;Repertuar
Gdańsk Helios Metropolia;1;Repertuar
Gdynia Helios;1;Repertuar
Gniezno Helios;1;Repertuar
Gorzów Wielkopolski Helios;1;Repertuar
Grudziądz Helios;1;Repertuar
Jelenia Góra Helios;1;Repertuar
Kalisz Helios;1;Repertuar
Katowice Helios;1;Repertuar
Kędzierzyn-Koźle Helios;1;Repertuar
Kielce Helios;1;Repertuar
Konin Helios;1;Repertuar
Krosno Helios;1;Repertuar
Legionowo Helios;1;Repertuar
Legnica Helios;1;Repertuar
Lubin Helios;1;Repertuar
Łódź Helios;1;Repertuar
Nowy Sącz Helios;1;Repertuar
Olsztyn Helios;1;Repertuar
Opole Helios Karolinka;1;Repertuar
Opole Helios Solaris;1;Repertuar
Ostrów Wielkopolski Helios;1;Repertuar
Pabianice Helios;1;Repertuar
Piła Helios;1;Repertuar
Piotrków Trybunalski Helios;1;Repertuar
Płock Helios;1;Repertuar
Poznań Helios;1;Repertuar
Przemyśl Helios;1;Repertuar
Radom Helios;1;Repertuar
Rzeszów Helios Galeria Rzeszów;1;Repertuar
Rzeszów Helios Powstańców W-wy;1;Repertuar
Siedlce Helios;1;Repertuar
Sosnowiec Helios;1;Repertuar
Stalowa Wola Helios;1;Repertuar
Starachowice Helios;1;Repertuar
Szczecin Helios CHR Kupiec;1;Repertuar
Szczecin Helios Outlet Park;1;Repertuar
Tczew Helios;1;Repertuar
Tomaszów Mazowiecki Helios;1;Repertuar
Warszawa Helios Blue City;1;Repertuar
Wołomin Helios;1;Repertuar
Wrocław Helios Aleja Bielany;1;Repertuar
Wrocław Helios Magnolia Park;1;Repertuar
Żory Helios;1;Repertuar
