Indeks produktu;Nazwa;Cena;Kategoria;Opis;Adresy URL zdjęcia (x,y,z...)
1;ŻUŻEL;"
        						26,90 zł        					";Bełchatów Helios;Czas trwania: 108 min.Od lat: 13Produkcja: Polska [2020], Premiera: 16.07.2021 (Polska)<br><br>Reżyseria:<br>Dorota Kędzierzawska<br><br>Gatunek: ['Dramat']<br><br>Scenariusz:<br>Dorota Kędzierzawska<br><br>Obsada:<br>Paweł Wilczak, Żaneta Łabudzka, Mateusz Kościukiewicz<br><br>Opis:<br>Mistrz motocyklowy Lowa (Tomasz Ziętek) jest obiektem westchnień kobiet i źródłem zazdrości rywali z toru (Mateusz Kościukiewicz). Pogodny, miły dla ludzi, „zwyczajny”, ma frajdę z życia i tego, co robi. Jednak szelmowski uśmiech chłopaka skrywa codzienne zmagania ze strachem, widmem kontuzji i wypadków na żużlowych stadionach. Wszystko komplikuje się jeszcze bardziej, kiedy na drodze Lowy staje śliczna Roma (Jagoda Porębska). Czy zakochany w prędkości i motorach zawodnik, dla którego sport jest nie tylko szaleńczą, młodzieńczą pasją, ale też ucieczką od szarej rzeczywistości, znajdzie w swoim sercu miejsce na prawdziwą miłość?;https://ftmp.helios.pl/Get/file/mvpstr/22203/1634903163,https://ftmp.helios.pl/Get/file/mvpic/105194/1634903163,https://ftmp.helios.pl/Get/file/mvpic/105195/1634903163,https://ftmp.helios.pl/Get/file/mvpic/105196/1634903163,https://ftmp.helios.pl/Get/file/mvpic/105197/1634903163,https://ftmp.helios.pl/Get/file/mvpic/105198/1634903163,https://ftmp.helios.pl/Get/file/mvpic/105199/1634903163,https://ftmp.helios.pl/Get/file/mvpic/105200/1634903163,https://ftmp.helios.pl/Get/file/mvpic/105201/1634903163,https://ftmp.helios.pl/Get/file/mvpic/105202/1634903163,https://ftmp.helios.pl/Get/file/mvpic/105203/1634903163,https://ftmp.helios.pl/Get/file/mvpic/105204/1634903163,https://ftmp.helios.pl/Get/file/mvpic/105205/1634903163,https://ftmp.helios.pl/Get/file/mvpic/105206/1634903163
2;BO WE MNIE JEST SEKS;"
        						26,90 zł        					";Bełchatów Helios;Czas trwania: 105 min.Od lat: 15Produkcja: Polska [2021], Premiera: 19.11.2021 (Polska)<br><br>Reżyseria:<br>Katarzyna Klimkiewicz<br><br>Gatunek: ['Biograficzny']<br><br>Scenariusz:<br>Patrycja Mnich, Katarzyna Klimkiewicz<br><br>Obsada:<br>Maria Dębska, Krzysztof Zalewski, Leszek Lichota<br><br>Opis:<br>Rok 1962, Kalina Jędrusik ma łatkę skandalistki. Z mężem Stanisławem Dygatem prowadzą otwarty dom. Ich częstymi gośćmi są Jeremi Przybora, Tadeusz Konwicki, Kazimierz Kutz, Barbara Krafftówna oraz Lucek, młody kochanek Kaliny. Artystka na scenie gorszy kobiety, oczarowuje mężczyzn. Tymczasem jej nowy przełożony pragnie gorącego romansu. Wykorzystując władzę, stawką za odrzucenie czyni jej karierę. Czy uda mu się złamać kobietę, która uwielbia niezależność, ale nie potrafi żyć bez występów?;https://ftmp.helios.pl/Get/file/mvpstr/20804/1629816565,https://ftmp.helios.pl/Get/file/mvpic/102905/1625674077,https://ftmp.helios.pl/Get/file/mvpic/102906/1625674088,https://ftmp.helios.pl/Get/file/mvpic/103893/1629816485,https://ftmp.helios.pl/Get/file/mvpic/103894/1629816501,https://ftmp.helios.pl/Get/file/mvpic/103895/1629816516,https://ftmp.helios.pl/Get/file/mvpic/103896/1629816537
3;POGROMCY DUCHÓW. Dziedzictwo / napisy;"
        						26,90 zł        					";Bełchatów Helios;Czas trwania: 117 min.Od lat: 13Produkcja: Kanada/USA [2021], Premiera: 19.11.2021 (Polska)<br><br>Reżyseria:<br>Jason Reitman<br><br>Gatunek: ['Komedia', 'Akcja']<br><br>Scenariusz:<br>Gil Kenan, Jason Reitman<br><br>Obsada:<br>Mckenna Grace, Carrie Coon, Finn Wolfhard<br><br>Opis:<br>Film w reżyserii Jasona Reitmana, wyprodukowany przez  Ivana Reitmana. Kolejny rozdział oryginalnego uniwersum Ghostbusters. Samotna matka i jej dwoje dzieci przybywają do małego miasteczka, gdzie odkrywają tajemnicze połączenie z oryginalnymi pogromcami duchów oraz sekretny spadek, który pozostawił im dziadek.;https://ftmp.helios.pl/Get/file/mvpstr/20805/1634286987,https://ftmp.helios.pl/Get/file/mvpic/102907/1625675341,https://ftmp.helios.pl/Get/file/mvpic/102908/1635760984,https://ftmp.helios.pl/Get/file/mvpic/102909/1635761015,https://ftmp.helios.pl/Get/file/mvpic/102910/1625675404,https://ftmp.helios.pl/Get/file/mvpic/102911/1636119976,https://ftmp.helios.pl/Get/file/mvpic/102912/1625675536,https://ftmp.helios.pl/Get/file/mvpic/105523/1635761165,https://ftmp.helios.pl/Get/file/mvpic/105732/1636120083
4;POGROMCY DUCHÓW. Dziedzictwo / dubbing;"
        						26,90 zł        					";Bełchatów Helios;Czas trwania: 117 min.Od lat: 13Produkcja: Kanada/USA [2021], Premiera: 19.11.2021 (Polska)<br><br>Reżyseria:<br>Jason Reitman<br><br>Gatunek: ['Komedia', 'Akcja']<br><br>Scenariusz:<br>Gil Kenan, Jason Reitman<br><br>Obsada:<br>Mckenna Grace, Carrie Coon, Finn Wolfhard<br><br>Opis:<br>Film w reżyserii Jasona Reitmana, wyprodukowany przez  Ivana Reitmana. Kolejny rozdział oryginalnego uniwersum Ghostbusters. Samotna matka i jej dwoje dzieci przybywają do małego miasteczka, gdzie odkrywają tajemnicze połączenie z oryginalnymi pogromcami duchów oraz sekretny spadek, który pozostawił im dziadek.;https://ftmp.helios.pl/Get/file/mvpstr/22388/1636461143,https://ftmp.helios.pl/Get/file/mvpic/105810/1636461143,https://ftmp.helios.pl/Get/file/mvpic/105811/1636461143,https://ftmp.helios.pl/Get/file/mvpic/105812/1636461143,https://ftmp.helios.pl/Get/file/mvpic/105813/1636461143,https://ftmp.helios.pl/Get/file/mvpic/105814/1636461143,https://ftmp.helios.pl/Get/file/mvpic/105815/1636461143,https://ftmp.helios.pl/Get/file/mvpic/105816/1636461143,https://ftmp.helios.pl/Get/file/mvpic/105817/1636461143
5;WILK, LEW i JA / familijny / od 7 lat / dubbing;"
        						26,90 zł        					";Bełchatów Helios;Czas trwania: 99 min.Od lat: 7Produkcja: Francja [2021], Premiera: 19.11.2021 (Polska)<br><br>Reżyseria:<br>Gilles de Maistre<br><br>Gatunek: ['Familijny']<br><br>Scenariusz:<br>Gilles de Maistre<br><br>Obsada:<br>Graham Greene, Mylene Dinh-Robic, Charlie Carrick<br><br>Opis:<br>Alma postanawia wrócić do krainy swojego dzieciństwa – jest to otoczony pięknym lasem stary dom położony na malowniczej wyspie pośrodku jeziora w dzikich ostępach Kanady. Kiedy była mała, wychowywała się tu ze swoim dziadkiem, który uczył ją o przyrodzie i życiu w zgodzie z naturą. Wkrótce dziewczyna natrafia na dwójkę niezwykłych nieznajomych – małego wilczka i urocze lwiątko. Pierwszy ze zwierzaków to szczeniak zaprzyjaźnionej z dziadkiem Almy wilczycy, a drugi to cudem uratowane z katastrofy lotniczej zwierzątko przeznaczone na cyrkową arenę. Stworzenia stają się nierozłączne i zachowują jak rodzeństwo. Alma zabiera je do domu i zostaje ich opiekunką, patrząc jak z każdym dniem się oswajają i coraz lepiej sobie radzą z otaczającym światem. Okazuje się jednak, że zwierzaki są poszukiwane i na trop Almy wpadają leśni strażnicy. Czy dziewczyna będzie mogła liczyć na pomoc swoich najbliższych? Czu uda się ocalić niezwykłą przyjaźń i nie dopuścić do rozłąki troskliwej opiekunki i jej podopiecznych? To początek największej przygody ich życia!;https://ftmp.helios.pl/Get/file/mvpstr/22142/1635165470,https://ftmp.helios.pl/Get/file/mvpic/105140/1634551584,https://ftmp.helios.pl/Get/file/mvpic/105141/1634551615,https://ftmp.helios.pl/Get/file/mvpic/105142/1634551628,https://ftmp.helios.pl/Get/file/mvpic/105143/1634551650,https://ftmp.helios.pl/Get/file/mvpic/105144/1634551714,https://ftmp.helios.pl/Get/file/mvpic/105145/1634551729,https://ftmp.helios.pl/Get/file/mvpic/105146/1634551745,https://ftmp.helios.pl/Get/file/mvpic/105147/1634551969
6;PITBULL;"
        						26,90 zł        					";Bełchatów Helios;Czas trwania: 112 min.Od lat: 15Produkcja: Polska [2021], Premiera: 11.11.2021 (Polska)<br><br>Reżyseria:<br>Patryk Vega<br><br>Gatunek: ['Akcja', 'Kryminał']<br><br>Scenariusz:<br>Patryk Vega<br><br>Obsada:<br>Przemysław Bluszcz, Andrzej Grabowski, Tomasz Dedek, Marta Malikowska<br><br>Opis:<br>Kiedy podłożony na stacji paliw ładunek wybuchowy zabija policyjnego sapera, komendant główny policji przydziela do sprawy Gebelsa z wydziału ds. zabójstw. Śledztwo prowadzi go na trop przestępcy ze zbrojnego ramienia  grupy Pershinga - konstruktora bomb i porywacza, stojącego za dziesiątkami zamachów w Polsce i ponad setką porwań w całym kraju.  Konfrontacja bandyty i psa przeradza się w regularną wojnę. Od tych wydarzeń mijają lata. Znany z serialu syn Gebelsa, Jarek, który jest studentem informatyki na politechnice, wraz z kolegami znajduje ryzykowny sposób na szybki zarobek i przy wykorzystaniu wiedzy zaczyna dokonywać włamań do willi bogatych ludzi. Pech chce, że którejś nocy wybiera niewłaściwy dom, a Gebels staje przed sytuacją bez wyjścia, w której musi wsadzić własne dziecko do więzienia. Może być policjantem, który aresztuje przestępcę. Albo ojcem, który uratuje dziecko.;https://ftmp.helios.pl/Get/file/mvpstr/21358/1634808864,https://ftmp.helios.pl/Get/file/mvpic/105514/1635760547,https://ftmp.helios.pl/Get/file/mvpic/105515/1635760554,https://ftmp.helios.pl/Get/file/mvpic/105516/1635760561,https://ftmp.helios.pl/Get/file/mvpic/105517/1635760569,https://ftmp.helios.pl/Get/file/mvpic/105518/1635760575,https://ftmp.helios.pl/Get/file/mvpic/105519/1635760583,https://ftmp.helios.pl/Get/file/mvpic/105520/1635760609,https://ftmp.helios.pl/Get/file/mvpic/105521/1635760772
7;PSZCZÓŁKA MAJA: Mały wielki skarb / familijny / b.o. / dubbing;"
        						26,90 zł        					";Bełchatów Helios;Czas trwania: 88 min.Od lat: b.o.Produkcja: Niemcy/Australia [2021], Premiera: 11.11.2021 (Polska)<br><br>Reżyseria:<br>Noel Cleary<br><br>Gatunek: ['Animacja']<br><br>Scenariusz:<br>Adrian Bickenbach, Fin Edquist<br><br>Obsada:<br>-<br><br>Opis:<br>Wiosna nie zdążyła się jeszcze na dobre rozpocząć, a Maja i Gucio już wyruszają z ula w poszukiwaniu przygody. Napotkany na łące tajemniczy wędrowiec powierza im opiekę nad magiczną złotą pestką, którą mają dostarczyć do pałacu na Sekretnym Wzgórzu. W tak niebezpieczną misję najlepiej zabrać zaufanych kompanów. Maja i Gucio proszą więc o pomoc nieustraszonych mrówczych wojowników Zenka i Gienka. Dzielna drużyna rusza w drogę, nie mając pojęcia, że ich tropem podąża cały wachlarz typów spod ciemnej gwiazdy: chciwi łowcy nagród, tajni wysłannicy obcych łąk i zwykłe skrzydlate opryszki. Na dodatek wkrótce okaże się, że pestka tak naprawdę jest jajkiem, z którego wykluje się mała sympatyczna, ale nieco nieogarnięta mrówka.;https://ftmp.helios.pl/Get/file/mvpstr/21327/1629451000,https://ftmp.helios.pl/Get/file/mvpic/103689/1629451081,https://ftmp.helios.pl/Get/file/mvpic/103690/1629451090,https://ftmp.helios.pl/Get/file/mvpic/103691/1629451100,https://ftmp.helios.pl/Get/file/mvpic/103692/1629451259,https://ftmp.helios.pl/Get/file/mvpic/103693/1629451292,https://ftmp.helios.pl/Get/file/mvpic/103694/1629451329,https://ftmp.helios.pl/Get/file/mvpic/103695/1629451368,https://ftmp.helios.pl/Get/file/mvpic/103696/1629451399,https://ftmp.helios.pl/Get/file/mvpic/103697/1629451435,https://ftmp.helios.pl/Get/file/mvpic/103698/1629451483,https://ftmp.helios.pl/Get/file/mvpic/103699/1629451527
8;TO MUSI BYĆ MIŁOŚĆ;"
        						26,90 zł        					";Bełchatów Helios;Czas trwania: 95 min.Od lat: 13Produkcja: Polska [2021], Premiera: 05.11.2021 (Polska)<br><br>Reżyseria:<br>Michał Rogalski<br><br>Gatunek: ['Komedia romantyczna']<br><br>Scenariusz:<br>Agnieszka Pilaszewska<br><br>Obsada:<br>Małgorzata Kożuchowska, Anna Smołowik, Ilona Ostrowska, Tomasz Karolak, Rafał Królikowski<br><br>Opis:<br>Gdy ich matka postanawia uciec z miasta i w samotności przemyśleć jeszcze raz decyzję o ślubie, niespodziewanie dołączają do niej córki. Choć pobyt rozpoczynają na kanapie w stylu Bridget Jones, w ramach rodzinnych obrad muszą zdecydować co dalej, bo każda z kobiet przechodzi teraz własne, miłosne zawirowania.Czy ich faceci w swojej totalnej niezdarności znajdą sposób, żeby odzyskać serca sióstr?;https://ftmp.helios.pl/Get/file/mvpstr/21362/1634134404,https://ftmp.helios.pl/Get/file/mvpic/105431/1635758343,https://ftmp.helios.pl/Get/file/mvpic/105432/1635758352,https://ftmp.helios.pl/Get/file/mvpic/105433/1635758365,https://ftmp.helios.pl/Get/file/mvpic/105434/1635758374,https://ftmp.helios.pl/Get/file/mvpic/105435/1635758386
9;DZIEWCZYNY Z DUBAJU®;"
        						26,90 zł        					";Bełchatów Helios;Czas trwania: 146 min.Od lat: 16Produkcja: Polska [2021], Premiera: 26.11.2021 (Polska)<br><br>Reżyseria:<br>Maria Sadowska<br><br>Gatunek: ['Dramat', 'Biograficzny', 'Kryminał']<br><br>Scenariusz:<br>Mitja Okorn<br><br>Obsada:<br>Paulina Gałązka, Katarzyna Figura, Katarzyna Sawczuk<br><br>Opis:<br>Oparte na prawdziwych wydarzeniach „Dziewczyny z Dubaju®” zdemaskują hipokryzję polskiego show biznesu i ujawnią całą prawdę na temat tzw. „afery dubajskiej”, w którą zamieszane były zarówno celebrytki i modelki, jak również wiele znanych postaci ze świata polityki, biznesu, czy sportu.;https://ftmp.helios.pl/Get/file/mvpstr/21748/1634121191,https://ftmp.helios.pl/Get/file/mvpic/104842/1633523600,https://ftmp.helios.pl/Get/file/mvpic/104843/1633523625,https://ftmp.helios.pl/Get/file/mvpic/104844/1633523680,https://ftmp.helios.pl/Get/file/mvpic/104947/1633627744,https://ftmp.helios.pl/Get/file/mvpic/104948/1633627763,https://ftmp.helios.pl/Get/file/mvpic/104949/1633627782,https://ftmp.helios.pl/Get/file/mvpic/104950/1633627800,https://ftmp.helios.pl/Get/file/mvpic/104951/1633627819,https://ftmp.helios.pl/Get/file/mvpic/104952/1633627851,https://ftmp.helios.pl/Get/file/mvpic/104953/1633627870,https://ftmp.helios.pl/Get/file/mvpic/104954/1633627889,https://ftmp.helios.pl/Get/file/mvpic/104955/1633627905
10;NASZE MAGICZNE ENCANTO / familijny / od 7 lat / dubbing;"
        						26,90 zł        					";Bełchatów Helios;Czas trwania: 110 min.Od lat: 7Produkcja: USA [2021], Premiera: 26.11.2021 (Polska)<br><br>Reżyseria:<br>Jared Bush, Charise Castro Smith, Byron Howard<br><br>Gatunek: ['Animacja', 'Przygodowy']<br><br>Scenariusz:<br>Jared Bush, Charise Castro Smith<br><br>Obsada:<br>Anastazja Simińska, Robert Tondera, Izabela Bujniewicz<br><br>Opis:<br>„Nasze magiczne Encanto” opowiada historię niezwykłej rodziny Madrigal. Ich pełen magii dom znajduje się w tętniącym życiem mieście - w cudownym i urokliwym miejscu zwanym Encanto, ukrytym w górach Kolumbii. Magia Encanto sprawiła, że każde dziecko w rodzinie posiada wyjątkową moc uzdrawiania, z wyjątkiem Mirabel. Kiedy magia otaczająca Encanto jest w niebezpieczeństwie, Mirabel odkrywa, że to właśnie ona, jako jedyna zwyczajna osoba w tej wyjątkowej rodzinie, może być jej ostatnią nadzieją.;https://ftmp.helios.pl/Get/file/mvpstr/21363/1633518581,https://ftmp.helios.pl/Get/file/mvpic/103946/1629876372,https://ftmp.helios.pl/Get/file/mvpic/103947/1629876395,https://ftmp.helios.pl/Get/file/mvpic/103948/1629876422,https://ftmp.helios.pl/Get/file/mvpic/103949/1629876444,https://ftmp.helios.pl/Get/file/mvpic/103950/1629876461,https://ftmp.helios.pl/Get/file/mvpic/103951/1629876482,https://ftmp.helios.pl/Get/file/mvpic/103952/1629876503
