Product ID*;Attribute (Name:Type:Position)*;Value (Value:Position)*;Ilość
1;Terminy:select:1;11'30 12.01:0;130
1;Terminy:select:1;13'50 12.01:1;130
1;Terminy:select:1;14'40 12.01:2;130
1;Terminy:select:1;16'10 12.01:3;130
1;Terminy:select:1;17'00 12.01:4;130
1;Terminy:select:1;18'30 12.01:5;130
1;Terminy:select:1;19'20 12.01:6;130
1;Terminy:select:1;20'50 12.01:7;130
1;Terminy:select:1;21'40 12.01:8;130
1;Terminy:select:1;11'30 13.01:9;130
1;Terminy:select:1;13'50 13.01:10;130
1;Terminy:select:1;14'40 13.01:11;130
1;Terminy:select:1;16'10 13.01:12;130
1;Terminy:select:1;17'00 13.01:13;130
1;Terminy:select:1;18'30 13.01:14;130
1;Terminy:select:1;19'20 13.01:15;130
1;Terminy:select:1;20'50 13.01:16;130
1;Terminy:select:1;21'40 13.01:17;130
1;Terminy:select:1;10'50 14.01:18;130
1;Terminy:select:1;13'15 14.01:19;130
1;Terminy:select:1;14'40 14.01:20;130
1;Terminy:select:1;15'40 14.01:21;130
1;Terminy:select:1;17'00 14.01:22;130
1;Terminy:select:1;18'00 14.01:23;130
1;Terminy:select:1;19'20 14.01:24;130
1;Terminy:select:1;20'20 14.01:25;130
1;Terminy:select:1;21'40 14.01:26;130
1;Terminy:select:1;10'50 15.01:27;130
1;Terminy:select:1;13'15 15.01:28;130
1;Terminy:select:1;14'40 15.01:29;130
1;Terminy:select:1;17'00 15.01:30;130
1;Terminy:select:1;18'00 15.01:31;130
1;Terminy:select:1;19'20 15.01:32;130
1;Terminy:select:1;20'20 15.01:33;130
1;Terminy:select:1;21'40 15.01:34;130
1;Terminy:select:1;13'15 16.01:35;130
1;Terminy:select:1;14'40 16.01:36;130
1;Terminy:select:1;17'00 16.01:37;130
1;Terminy:select:1;18'00 16.01:38;130
1;Terminy:select:1;19'20 16.01:39;130
1;Terminy:select:1;20'20 16.01:40;130
1;Terminy:select:1;21'40 16.01:41;130
